!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Curve,6,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,8,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=657209&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dean Deetz,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=493364&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dayan Viciedo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,654,147,28,13,1,15,14,2,5,.245,.469,.225,.272
,,,Sinker,320,74,12,1,0,15,5,0,3,.311,.500,.189,.339
,,,Change,310,106,11,8,0,24,7,0,5,.340,.547,.208,.344
,,,Slider,152,40,12,2,0,6,1,0,2,.225,.400,.175,.269
,,,Curve,224,51,10,1,1,11,2,0,2,.294,.451,.157,.333
,,,Cutter,157,45,9,1,0,8,4,0,4,.356,.711,.356,.375
,,,Split,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518883&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dean Kiekhefer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592547&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Deck McGuire,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=476454&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dellin Betances,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=431151&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,David Wright,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1793,360,57,66,1,84,24,3,12,.342,.525,.183,.381
,,,Sinker,960,187,28,37,0,49,15,0,9,.390,.615,.225,.427
,,,Change,645,180,14,16,0,38,12,2,12,.356,.644,.289,.338
,,,Slider,410,85,33,10,2,11,8,0,3,.259,.459,.200,.388
,,,Curve,445,103,32,13,1,14,8,1,4,.262,.476,.214,.343
,,,Cutter,320,86,7,6,1,18,13,1,5,.430,.779,.349,.432
,,,Split,66,11,3,0,0,3,0,0,0,.273,.273,.000,.375
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592261&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Delino DeShields,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,849,177,38,29,0,36,9,3,4,.294,.446,.153,.356
,,,Sinker,456,95,19,13,0,20,7,0,2,.305,.442,.137,.365
,,,Change,276,67,19,1,0,16,3,0,0,.284,.328,.045,.396
,,,Slider,191,50,26,5,2,6,0,0,0,.120,.120,.000,.250
,,,Curve,135,22,8,1,1,4,2,1,0,.318,.500,.182,.500
,,,Cutter,122,24,7,4,1,3,1,0,1,.208,.375,.167,.250
,,,Split,14,5,1,0,0,1,0,0,0,.200,.200,.000,.250
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=464426&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Denis Phipps,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,16,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,5,2,0,0,0,0,1,0,0,.500,1.000,.500,.500
,,,Change,1,1,0,0,0,0,1,0,0,1.000,2.000,1.000,1.000
,,,Slider,3,1,0,0,0,0,0,0,1,1.000,4.000,3.000,.000
,,,Curve,5,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642701&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dennis Santana,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,1,0,0,0,0,1,0,0,1.000,2.000,1.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543829&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dee Gordon,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1353,274,51,23,4,64,15,3,1,.303,.391,.088,.369
,,,Sinker,705,200,22,7,1,44,5,0,0,.245,.270,.025,.275
,,,Change,80,24,8,0,1,6,0,1,1,.333,.542,.208,.467
,,,Slider,555,180,29,2,3,48,4,2,0,.300,.344,.044,.358
,,,Curve,286,104,13,0,1,21,2,2,0,.240,.298,.058,.275
,,,Cutter,175,48,7,0,0,13,0,0,0,.271,.271,.000,.317
,,,Split,24,9,3,0,1,3,0,0,0,.333,.333,.000,.500
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=500610&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Deolis Guerra,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605446&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dereck Rodriguez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,16,4,3,0,0,0,1,0,0,.250,.500,.250,1.000
,,,Sinker,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=430321&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Delmon Young,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1462,338,64,24,6,80,11,0,4,.281,.349,.068,.337
,,,Sinker,704,180,15,8,0,48,12,2,12,.411,.700,.289,.405
,,,Change,863,265,32,7,0,48,13,2,8,.268,.423,.155,.280
,,,Slider,357,113,34,2,2,18,7,0,3,.248,.389,.142,.329
,,,Curve,409,119,40,0,1,21,6,1,4,.269,.437,.168,.373
,,,Cutter,287,86,9,2,0,17,8,1,6,.372,.698,.326,.366
,,,Split,30,9,2,1,0,1,0,0,1,.222,.556,.333,.167
,,,Screwball,4,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605233&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Fisher,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,70,12,3,2,0,2,0,1,0,.250,.417,.167,.333
,,,Sinker,51,10,4,2,0,3,0,0,0,.300,.300,.000,.500
,,,Change,10,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,41,8,2,0,0,2,0,1,1,.500,1.125,.625,.600
,,,Curve,28,8,4,1,0,2,0,0,0,.250,.250,.000,.500
,,,Cutter,6,3,0,0,0,1,0,0,0,.333,.333,.000,.333
,,,Split,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=656537&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Hill,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502706&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Holland,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,20,3,1,1,0,1,0,0,0,.333,.333,.000,.500
,,,Sinker,21,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,5,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518618&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Dietrich,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,492,100,36,6,7,17,4,1,2,.240,.360,.120,.355
,,,Sinker,269,64,10,2,6,17,4,0,0,.328,.391,.063,.389
,,,Change,33,7,2,0,0,1,0,0,0,.143,.143,.000,.200
,,,Slider,288,83,37,1,2,10,2,1,3,.193,.349,.157,.302
,,,Curve,128,32,10,1,3,4,1,1,1,.219,.406,.188,.286
,,,Cutter,93,29,4,1,1,1,2,0,2,.172,.448,.276,.130
,,,Split,17,1,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=452655&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Denard Span,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3238,649,89,116,5,140,22,6,4,.265,.336,.071,.302
,,,Sinker,1287,311,34,24,5,71,9,2,1,.267,.318,.051,.297
,,,Change,211,64,21,8,1,6,4,0,0,.156,.219,.063,.233
,,,Slider,974,229,55,6,0,39,6,5,4,.236,.358,.122,.294
,,,Curve,533,129,19,1,1,30,7,3,0,.310,.411,.101,.364
,,,Cutter,446,115,20,3,0,24,6,2,2,.296,.435,.139,.344
,,,Split,21,5,2,0,0,1,0,0,0,.200,.200,.000,.333
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571882&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Law,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642524&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derian Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543329&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Destin Hood,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,7,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=501961&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derrick Robinson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,182,34,6,7,0,8,1,0,0,.265,.294,.029,.321
,,,Sinker,93,24,3,3,0,5,1,1,0,.292,.417,.125,.333
,,,Change,45,8,3,0,0,3,0,0,0,.375,.375,.000,.600
,,,Slider,51,17,5,1,0,6,2,0,0,.471,.588,.118,.667
,,,Curve,37,6,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,25,10,2,0,0,2,1,0,0,.300,.400,.100,.375
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519083&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Derek Norris,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1155,237,50,40,3,32,17,0,10,.249,.447,.198,.277
,,,Sinker,701,177,15,19,0,29,8,0,9,.260,.458,.198,.242
,,,Change,459,113,29,5,0,22,6,0,5,.292,.478,.186,.354
,,,Slider,291,62,28,5,0,11,3,0,4,.290,.532,.242,.467
,,,Curve,318,63,29,3,2,10,2,1,2,.238,.397,.159,.406
,,,Cutter,202,33,7,4,0,9,4,0,0,.394,.515,.121,.500
,,,Split,26,7,0,1,0,4,1,0,0,.714,.857,.143,.714
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=445177&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Deunte Heath,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457775&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Desmond Jennings,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1016,200,51,43,3,22,16,3,9,.250,.495,.245,.293
,,,Sinker,655,153,25,15,1,30,13,4,2,.320,.497,.177,.373
,,,Change,411,109,23,4,0,23,2,2,1,.257,.339,.083,.318
,,,Slider,221,57,16,7,1,7,2,1,0,.175,.246,.070,.244
,,,Curve,270,42,12,3,1,5,1,1,1,.191,.333,.143,.241
,,,Cutter,197,39,15,1,0,6,2,0,1,.231,.359,.128,.348
,,,Split,11,4,0,0,0,3,0,0,0,.750,.750,.000,.750
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571918&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Deven Marrero,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,225,56,17,3,0,10,1,0,1,.214,.286,.071,.290
,,,Sinker,162,31,4,3,0,8,2,1,0,.355,.484,.129,.407
,,,Change,91,19,5,3,0,1,1,0,1,.158,.368,.211,.154
,,,Slider,93,20,13,0,0,0,1,0,0,.050,.100,.050,.143
,,,Curve,50,15,8,0,0,0,1,0,2,.200,.667,.467,.200
,,,Cutter,30,9,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=581527&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Devon Travis,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,340,84,9,6,0,15,8,0,5,.333,.607,.274,.329
,,,Sinker,192,51,3,2,0,10,2,0,0,.235,.275,.039,.250
,,,Change,142,47,4,0,0,10,2,0,3,.319,.553,.234,.300
,,,Slider,124,26,9,2,0,4,1,0,0,.192,.231,.039,.294
,,,Curve,57,6,2,0,0,0,0,0,1,.167,.667,.500,.000
,,,Cutter,76,25,10,0,0,3,0,0,2,.200,.440,.240,.231
,,,Split,7,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=661281&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dian Toscano,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519023&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Devin Mesoraco,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,422,91,16,13,3,10,5,1,4,.220,.429,.209,.225
,,,Sinker,366,77,8,14,0,16,4,0,3,.299,.468,.169,.303
,,,Change,310,86,14,4,0,12,6,1,2,.244,.407,.163,.271
,,,Slider,191,34,9,10,0,7,3,0,1,.324,.500,.177,.417
,,,Curve,164,37,13,2,1,8,0,0,0,.216,.216,.000,.333
,,,Cutter,86,25,4,2,1,3,5,0,0,.320,.520,.200,.381
,,,Split,24,4,1,0,0,1,0,0,0,.250,.250,.000,.333
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=650895&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Diego Castillo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=514981&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Diego Moreno,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=608650&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dietrich Enns,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518716&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dillon Gee,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,87,18,9,3,0,2,0,0,0,.111,.111,.000,.222
,,,Sinker,69,11,2,0,0,0,0,1,0,.091,.273,.182,.111
,,,Change,17,6,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,14,8,3,0,0,1,0,0,0,.125,.125,.000,.200
,,,Curve,18,6,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,10,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=544369&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Didi Gregorius,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1092,269,39,23,2,53,10,1,1,.242,.297,.056,.280
,,,Sinker,612,148,16,6,6,36,5,1,3,.304,.412,.108,.326
,,,Change,69,20,4,0,2,1,3,0,0,.200,.350,.150,.250
,,,Slider,544,135,35,6,2,28,4,0,2,.252,.326,.074,.327
,,,Curve,279,74,20,3,1,10,4,0,1,.203,.297,.095,.264
,,,Cutter,195,54,8,1,0,12,2,0,3,.315,.519,.204,.326
,,,Split,13,4,2,0,1,1,0,0,0,.250,.250,.000,.500
,,,Slow Curve,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592614&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dillon Overton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=596027&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dillon Maples,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=596071&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dillon Peters,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,9,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,7,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=451594&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dexter Fowler,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2073,463,76,71,7,87,28,7,10,.285,.441,.156,.324
,,,Sinker,1230,264,24,57,0,72,25,3,2,.386,.527,.140,.420
,,,Change,899,216,38,18,0,34,11,2,2,.227,.324,.097,.267
,,,Slider,551,129,55,10,2,24,5,2,2,.256,.372,.116,.431
,,,Curve,444,85,31,3,0,15,4,1,3,.271,.447,.177,.392
,,,Cutter,373,86,23,9,0,15,4,1,2,.256,.395,.140,.328
,,,Split,32,4,2,1,0,1,0,0,0,.250,.250,.000,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=659275&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dinelson Lamet,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,13,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,11,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,5,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=599096&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dilson Herrera,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,50,11,2,2,0,1,1,0,0,.182,.273,.091,.222
,,,Sinker,38,7,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,27,6,3,1,0,2,1,0,0,.500,.667,.167,1.000
,,,Slider,13,2,1,1,0,1,0,0,0,.500,.500,.000,1.000
,,,Curve,13,5,4,1,0,1,0,0,0,.200,.200,.000,1.000
,,,Cutter,12,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=553988&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dixon Machado,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,241,65,7,5,0,14,4,0,0,.277,.339,.062,.310
,,,Sinker,93,19,0,3,0,4,1,0,0,.263,.316,.053,.263
,,,Change,66,9,5,1,0,1,0,0,0,.111,.111,.000,.250
,,,Slider,49,11,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,41,9,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,21,2,1,0,1,0,0,0,0,.000,.000,.000,.000
,,,Split,6,2,0,0,0,1,1,0,0,1.000,1.500,.500,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=593334&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Domingo German,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,10,1,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642758&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Domingo Acevedo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=425900&balls=-1&strikes=-1&b_hand=L&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Dioner Navarro,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1081,225,14,29,1,40,11,0,12,.280,.489,.209,.256
,,,Sinker,703,174,9,17,1,29,9,0,12,.287,.546,.259,.248
,,,Change,488,156,22,2,0,22,11,0,6,.250,.436,.186,.258
