!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571437&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Altherr,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1047,233,70,23,4,33,14,5,10,.266,.498,.232,.340
,,,Sinker,594,131,20,10,11,23,10,1,1,.267,.382,.115,.309
,,,Change,137,37,20,1,1,2,0,0,1,.081,.162,.081,.125
,,,Slider,694,158,76,16,2,17,5,1,9,.203,.418,.215,.315
,,,Curve,310,47,24,4,2,7,1,0,1,.192,.277,.085,.364
,,,Cutter,163,44,10,6,0,10,4,1,0,.341,.477,.136,.441
,,,Split,19,3,2,2,0,0,0,0,1,.333,1.333,1.000,.000
,,,Knuckler,21,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594760&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Blair,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,20,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Sinker,4,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,8,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605156&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Brooks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607481&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Bummer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621345&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Minter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543070&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Crow,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=488811&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Cunningham,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,517,110,37,12,1,12,10,1,1,.218,.355,.136,.319
,,,Sinker,322,79,12,4,2,13,6,1,1,.266,.405,.139,.303
,,,Change,58,19,6,2,0,2,1,0,0,.158,.211,.053,.231
,,,Slider,243,73,18,1,1,9,5,0,2,.219,.370,.151,.264
,,,Curve,115,23,5,1,1,5,0,0,0,.217,.217,.000,.278
,,,Cutter,84,27,7,1,0,2,0,0,0,.074,.074,.000,.100
,,,Split,14,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,7,2,0,0,0,0,0,0,0,.000,.000,.000,.000
