!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Split,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621294&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Heller,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594902&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Lively,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,38,11,2,0,0,1,0,0,0,.091,.091,.000,.111
,,,Sinker,13,3,0,0,0,1,0,0,0,.333,.333,.000,.333
,,,Change,2,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,13,2,1,0,0,0,0,0,1,.500,2.000,1.500,.000
,,,Curve,3,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Knuckler,4,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592325&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Gamel,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,880,165,28,32,1,45,8,2,1,.339,.430,.091,.404
,,,Sinker,484,89,14,12,0,27,2,0,2,.348,.438,.090,.397
,,,Change,324,95,13,1,0,14,5,3,0,.232,.347,.116,.268
,,,Slider,259,76,31,0,1,6,4,0,1,.145,.237,.092,.227
,,,Curve,292,63,24,1,0,3,6,0,2,.175,.365,.191,.243
,,,Cutter,110,38,9,1,0,9,2,1,4,.421,.842,.421,.480
,,,Split,103,39,7,1,0,5,2,0,2,.231,.436,.205,.233
,,,Knuckler,6,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,2,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=656738&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Meyer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=450204&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Francisco,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1428,342,51,44,8,53,24,1,8,.252,.398,.146,.276
,,,Sinker,794,197,24,16,6,42,16,1,4,.320,.472,.152,.349
,,,Change,242,47,17,3,1,8,1,0,2,.234,.383,.149,.321
,,,Slider,785,183,59,8,0,15,9,0,8,.175,.355,.180,.207
,,,Curve,426,93,35,5,4,11,13,0,5,.312,.613,.301,.453
,,,Cutter,401,108,13,4,0,17,10,0,1,.259,.380,.120,.287
,,,Split,69,21,5,0,0,3,1,0,0,.191,.238,.048,.250
,,,Knuckler,25,4,0,0,1,0,1,0,0,.250,.500,.250,.250
,,,Screwball,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,6,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=572019&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Paulsen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,777,148,66,15,2,18,8,3,1,.203,.318,.115,.358
,,,Sinker,338,82,10,5,0,20,8,0,1,.354,.488,.134,.394
,,,Change,274,104,16,3,0,16,5,0,4,.240,.404,.164,.250
,,,Slider,134,44,15,1,1,11,3,1,3,.409,.727,.318,.577
,,,Curve,166,50,11,3,0,8,6,1,0,.300,.460,.160,.385
,,,Cutter,126,30,7,1,0,5,1,0,2,.267,.500,.233,.286
,,,Split,36,19,4,0,0,4,0,0,1,.263,.421,.158,.286
,,,Slow Curve,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594985&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Rowen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=664701&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Taylor,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=435538&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bill Bray,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=434438&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Billy Buckner,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,51,13,3,0,0,1,2,0,0,.231,.385,.154,.300
,,,Sinker,13,4,1,1,0,1,0,0,0,.250,.250,.000,.333
,,,Slider,13,4,2,0,0,2,0,0,0,.500,.500,.000,1.000
,,,Curve,5,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=519184&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Revere,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3881,971,54,68,5,227,34,16,2,.287,.362,.074,.303
,,,Sinker,2188,541,28,36,0,156,13,1,1,.316,.349,.033,.332
,,,Change,794,255,30,4,0,55,4,4,0,.247,.294,.047,.280
,,,Slider,648,196,40,3,0,35,8,3,1,.240,.327,.087,.297
,,,Curve,832,208,40,5,0,36,3,3,1,.207,.264,.058,.252
,,,Cutter,540,144,20,5,0,39,1,5,1,.319,.417,.097,.366
,,,Split,160,53,8,2,0,16,2,1,0,.359,.434,.076,.422
,,,Knuckler,14,6,0,0,0,2,0,0,0,.333,.333,.000,.333
,,,Screwball,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,4,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=542993&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Billy Burns,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,979,224,32,18,1,53,8,3,1,.290,.366,.076,.335
,,,Sinker,430,122,6,6,0,25,2,1,1,.238,.295,.057,.244
,,,Change,207,65,9,1,0,12,1,1,0,.215,.262,.046,.250
,,,Slider,215,65,7,1,0,15,1,4,0,.308,.446,.139,.345
,,,Curve,240,75,12,1,0,11,3,1,0,.200,.267,.067,.238
,,,Cutter,134,34,4,1,3,7,1,2,1,.324,.559,.235,.345
,,,Split,79,26,4,0,0,4,0,1,0,.192,.269,.077,.227
,,,Knuckler,21,8,3,0,0,1,1,0,0,.250,.375,.125,.400
,,,Slow Curve,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641856&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Billy McKinney,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,36,10,2,1,0,4,1,0,0,.500,.600,.100,.625
,,,Sinker,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,11,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,6,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=430641&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blaine Boyer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,28,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,7,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543278&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blaine Hardy,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571740&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Billy Hamilton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2870,617,94,94,0,134,29,10,3,.285,.379,.094,.333
,,,Sinker,1636,388,52,35,0,83,14,5,3,.271,.356,.085,.306
,,,Change,679,164,53,4,0,24,4,1,2,.189,.262,.073,.266
,,,Slider,631,168,56,7,0,20,5,2,1,.167,.238,.071,.243
,,,Curve,843,164,62,5,1,29,1,1,2,.201,.256,.055,.310
,,,Cutter,366,106,26,3,0,19,3,3,1,.245,.359,.113,.317
,,,Split,160,42,13,1,0,8,2,0,0,.238,.286,.048,.345
,,,Knuckler,12,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Screwball,1,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Slow Curve,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518444&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Beavan,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=456714&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Billy Butler,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5255,1254,171,134,12,239,97,1,51,.309,.510,.201,.327
,,,Sinker,3375,907,65,68,8,211,61,0,21,.323,.460,.137,.331
,,,Change,820,219,37,15,1,43,14,0,6,.288,.434,.146,.324
,,,Slider,3248,695,204,49,1,127,30,2,7,.239,.318,.079,.329
,,,Curve,1399,322,71,13,3,68,10,1,2,.252,.308,.056,.317
,,,Cutter,1154,270,63,20,2,55,16,0,5,.282,.396,.115,.352
,,,Split,335,106,25,5,1,21,3,0,1,.236,.293,.057,.300
,,,Knuckler,130,32,9,2,1,5,2,0,0,.219,.281,.063,.304
,,,Screwball,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,23,10,2,0,0,2,1,0,0,.300,.400,.100,.375
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=450314&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Ben Zobrist,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5784,1312,151,232,7,235,80,13,56,.293,.502,.209,.297
,,,Sinker,3718,850,70,168,1,156,48,5,23,.273,.422,.149,.276
,,,Change,2524,509,111,49,0,74,24,2,10,.216,.330,.114,.258
,,,Slider,1780,361,118,38,7,42,16,3,15,.211,.396,.186,.268
,,,Curve,1875,313,98,23,6,36,14,2,3,.176,.262,.086,.245
,,,Cutter,1061,241,37,39,0,40,16,4,11,.295,.531,.237,.311
,,,Split,660,139,36,6,0,21,7,0,3,.223,.338,.115,.280
,,,Knuckler,239,54,13,6,0,3,2,1,1,.130,.259,.130,.150
,,,Screwball,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,29,7,0,0,0,1,1,0,0,.286,.429,.143,.286
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=503351&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Lalli,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,73,16,3,1,0,3,0,0,0,.188,.188,.000,.231
,,,Sinker,25,7,0,1,0,0,1,0,0,.143,.286,.143,.143
,,,Change,15,4,0,0,0,2,0,0,0,.500,.500,.000,.500
,,,Slider,19,4,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,23,8,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,14,4,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,5,3,1,0,0,0,1,0,0,.333,.667,.333,.500
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607962&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake McFarland,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=453284&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Parker,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=544930&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Smith,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,14,4,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,5,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605483&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Snell,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,14,2,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,11,3,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=493574&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Tekotte,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,135,27,8,3,0,2,2,1,0,.185,.333,.148,.263
,,,Sinker,77,19,5,2,0,5,0,0,0,.263,.263,.000,.357
,,,Change,46,11,5,1,0,2,0,0,0,.182,.182,.000,.333
,,,Slider,34,6,2,1,2,0,0,0,1,.167,.667,.500,.000
,,,Curve,24,5,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,17,2,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Split,16,5,4,0,0,1,0,0,0,.200,.200,.000,1.000
,,,Knuckler,11,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=596119&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Swihart,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,517,107,30,11,0,21,4,1,2,.262,.374,.112,.347
,,,Sinker,240,59,14,4,0,11,5,2,0,.305,.458,.153,.400
,,,Change,159,43,9,0,0,11,1,1,0,.302,.372,.070,.382
,,,Slider,124,35,14,3,0,6,0,0,1,.200,.286,.086,.300
,,,Curve,110,22,12,0,0,3,1,0,0,.182,.227,.046,.400
,,,Cutter,98,28,2,0,0,5,3,0,1,.321,.536,.214,.320
,,,Split,48,11,6,3,0,2,0,0,0,.182,.182,.000,.400
,,,Knuckler,26,5,2,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=664167&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Trahan,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595014&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Treinen,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,10,2,0,0,0,0,1,0,0,.500,1.000,.500,.500
,,,Sinker,24,2,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,5,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502028&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Blake Wood,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=445090&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby Korecky,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=458730&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby Parnell,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,15,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,18,4,0,0,0,1,0,0,0,.250,.250,.000,.250
,,,Slider,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=489039&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby LaFromboise,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=544759&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bo Schultz,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=596074&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby Poyner,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592833&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby Wahl,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=457429&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Boone Logan,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=435064&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Bobby Wilson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,959,210,50,25,1,28,9,0,3,.191,.276,.086,.236
,,,Sinker,468,125,13,10,1,25,2,0,1,.224,.264,.040,.243
,,,Change,103,22,6,1,0,4,0,0,0,.182,.182,.000,.250
,,,Slider,476,121,38,3,0,12,7,0,3,.182,.314,.132,.238
,,,Curve,237,55,28,1,1,10,2,0,0,.218,.255,.036,.444
,,,Cutter,165,42,6,2,0,6,2,0,2,.238,.429,.191,.235
,,,Split,40,9,1,0,0,2,0,0,0,.222,.222,.000,.250
,,,Knuckler,32,8,1,0,0,0,1,0,0,.125,.250,.125,.143
,,,Slow Curve,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=621471&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Boog Powell,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,367,64,16,12,0,13,4,1,3,.328,.563,.234,.400
,,,Sinker,147,26,5,6,0,7,0,1,0,.308,.385,.077,.381
,,,Change,80,21,4,0,0,3,4,1,0,.381,.667,.286,.471
,,,Slider,59,17,4,1,0,1,2,0,1,.235,.529,.294,.250
,,,Curve,71,17,3,0,0,3,0,0,0,.177,.177,.000,.214
,,,Cutter,51,13,2,0,0,2,0,0,0,.154,.154,.000,.182
,,,Split,19,5,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502202&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Boxberger,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,12,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=542960&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Brach,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543223&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Glenn,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=641745&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Keller,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=643329&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Goldberg,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=543272&balls=-1&strikes=-1&b_hand=R&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Brad Hand,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,99,19,9,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,68,20,1,0,0,3,0,0,0,.150,.150,.000,.158
,,,Change,9,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,9,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,12,7,2,0,0,1,0,0,0,.143,.143,.000,.200
