!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Cutter,7,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,8,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592704&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chance Ruffin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=642082&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chance Sisco,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,310,67,19,7,2,6,3,0,4,.194,.418,.224,.205
,,,Sinker,110,22,8,3,1,6,2,0,0,.364,.455,.091,.571
,,,Change,103,20,6,1,0,5,1,1,0,.350,.500,.150,.500
,,,Slider,77,19,11,2,3,1,3,0,0,.211,.368,.158,.500
,,,Curve,105,20,14,2,1,3,0,0,0,.150,.150,.000,.500
,,,Cutter,30,6,1,1,2,1,0,0,0,.167,.167,.000,.200
,,,Split,13,4,2,0,0,1,0,0,0,.250,.250,.000,.500
,,,Knuckler,18,3,0,0,1,1,0,0,0,.333,.333,.000,.333
,,,Slow Curve,1,0,0,0,1,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=429710&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chad Tracy,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1338,291,46,28,3,53,11,0,7,.244,.354,.110,.269
,,,Sinker,910,256,17,19,0,51,17,0,10,.305,.488,.184,.297
,,,Change,419,114,18,4,0,18,9,0,2,.254,.386,.132,.287
,,,Slider,449,119,44,6,2,8,8,0,2,.151,.269,.118,.219
,,,Curve,383,85,30,5,0,10,3,0,2,.177,.282,.106,.245
,,,Cutter,205,43,9,1,1,8,2,0,1,.256,.372,.116,.303
,,,Split,136,50,10,0,0,11,5,0,1,.340,.500,.160,.410
,,,Knuckler,24,3,1,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,9,4,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605469&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,James Shepherd,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502033&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charles Brewer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518586&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Culberson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,937,236,43,17,2,47,12,0,8,.284,.436,.153,.319
,,,Sinker,423,121,20,5,3,19,6,3,3,.256,.430,.174,.286
,,,Change,224,62,16,3,2,12,3,2,0,.274,.387,.113,.370
,,,Slider,414,91,43,4,0,16,1,1,2,.220,.319,.099,.391
,,,Curve,256,70,30,0,0,9,1,0,1,.157,.214,.057,.256
,,,Cutter,170,44,10,1,0,4,4,1,0,.205,.341,.136,.265
,,,Split,25,9,6,0,0,2,0,0,0,.222,.222,.000,.667
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=489056&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Leesman,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=518703&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Furbush,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=450203&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Morton,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,468,98,37,1,0,8,3,0,0,.112,.143,.031,.180
,,,Sinker,244,49,11,1,0,6,0,0,0,.122,.122,.000,.158
,,,Change,27,6,5,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,118,42,31,0,0,1,1,0,0,.048,.071,.024,.182
,,,Curve,91,36,29,0,0,1,0,0,0,.028,.028,.000,.143
,,,Cutter,48,16,5,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,7,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605508&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Tilson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,219,53,7,7,0,15,0,0,0,.283,.283,.000,.326
,,,Sinker,68,20,3,1,0,2,1,0,0,.150,.200,.050,.177
,,,Change,42,10,2,1,0,2,1,1,0,.400,.700,.300,.500
,,,Slider,55,13,3,0,1,4,0,0,0,.308,.308,.000,.400
,,,Curve,41,9,4,0,0,3,0,0,0,.333,.333,.000,.600
,,,Cutter,14,5,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502624&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Anderson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,388,73,21,2,2,7,0,0,0,.096,.096,.000,.135
,,,Sinker,199,43,15,0,0,5,0,0,0,.116,.116,.000,.179
,,,Change,13,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,88,40,32,0,0,3,0,0,0,.075,.075,.000,.375
,,,Curve,66,31,28,0,0,1,1,0,0,.065,.097,.032,.667
,,,Cutter,37,8,4,0,0,2,0,0,0,.250,.250,.000,.500
,,,Split,6,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=608328&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase DeJong,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=656965&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Simpson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592438&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Johnson,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=488818&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase d'Arnaud,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,717,177,35,15,3,34,12,3,0,.277,.379,.102,.345
,,,Sinker,372,96,10,13,0,18,9,1,1,.302,.448,.146,.329
,,,Change,117,25,4,1,0,4,1,1,0,.240,.360,.120,.286
,,,Slider,290,81,27,2,0,12,1,0,0,.161,.173,.012,.241
,,,Curve,203,60,35,0,1,5,0,0,0,.083,.083,.000,.200
,,,Cutter,115,33,4,0,0,8,0,0,0,.242,.242,.000,.276
,,,Split,19,4,1,1,0,0,0,0,1,.250,1.000,.750,.000
,,,Knuckler,11,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595032&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Whitley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607473&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chasen Bradford,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592741&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chasen Shreve,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=475054&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chaz Roe,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=453568&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Charlie Blackmon,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5783,1204,211,118,27,242,64,15,51,.309,.514,.205,.341
,,,Sinker,2673,593,70,49,9,153,29,9,17,.351,.516,.165,.378
,,,Change,1540,457,64,12,2,88,20,4,20,.289,.481,.193,.300
,,,Slider,1840,479,127,19,9,77,20,5,21,.257,.451,.194,.308
,,,Curve,1162,279,62,8,4,54,18,3,17,.330,.599,.269,.375
,,,Cutter,956,221,48,17,6,39,16,1,5,.276,.425,.149,.333
,,,Split,292,78,19,3,2,12,5,1,0,.231,.321,.090,.305
,,,Knuckler,22,5,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,6,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=452104&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Headley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8044,1662,396,246,18,301,87,11,53,.272,.433,.161,.329
,,,Sinker,4842,1084,159,145,2,235,86,4,26,.324,.483,.159,.362
,,,Change,3281,823,162,58,0,148,43,1,21,.259,.390,.131,.300
,,,Slider,2275,541,247,39,15,68,19,1,13,.187,.298,.111,.313
,,,Curve,2547,498,184,19,13,77,21,0,5,.207,.279,.072,.317
,,,Cutter,1582,357,106,30,10,67,15,0,10,.258,.384,.126,.340
,,,Split,832,198,66,17,2,39,6,0,5,.253,.359,.106,.354
,,,Knuckler,130,27,3,4,0,3,1,0,0,.148,.185,.037,.167
,,,Screwball,4,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,20,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=521428&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Che-Hsuan Lin,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,33,2,0,0,0,1,0,0,0,.500,.500,.000,.500
,,,Sinker,17,5,3,0,0,0,0,0,1,.200,.800,.600,.000
,,,Change,4,1,0,0,0,1,0,0,0,1.000,1.000,.000,1.000
,,,Slider,11,6,2,0,0,3,0,0,0,.500,.500,.000,.750
,,,Curve,9,3,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,5,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592346&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chi Chi Gonzalez,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=400284&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chase Utley,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,8113,1756,190,205,54,291,110,13,74,.278,.482,.204,.278
,,,Sinker,5303,1230,89,126,34,251,70,11,50,.311,.507,.197,.304
,,,Change,2218,557,108,40,7,95,31,6,14,.262,.415,.153,.303
,,,Slider,2888,626,219,54,21,70,28,6,20,.198,.358,.160,.269
,,,Curve,2290,416,149,36,28,68,21,0,9,.236,.351,.115,.345
,,,Cutter,1217,285,55,25,10,43,12,1,8,.225,.358,.133,.252
,,,Split,545,134,35,8,3,20,8,2,3,.246,.403,.157,.313
,,,Knuckler,85,23,4,2,0,3,1,0,0,.174,.217,.044,.211
,,,Screwball,10,0,0,1,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,42,11,6,0,0,1,0,0,0,.091,.091,.000,.200
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=547568&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chia-Jen Lo,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=596144&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Cheslor Cuthbert,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1311,294,52,26,1,50,14,1,6,.242,.357,.116,.275
,,,Sinker,584,147,8,17,1,32,8,0,7,.320,.517,.197,.303
,,,Change,297,80,16,3,0,18,5,0,3,.325,.500,.175,.377
,,,Slider,635,151,56,10,1,19,6,0,2,.179,.258,.080,.269
,,,Curve,375,77,28,4,0,11,1,0,1,.169,.221,.052,.250
,,,Cutter,268,75,10,2,0,12,6,1,2,.280,.467,.187,.302
,,,Split,48,15,8,1,0,1,1,0,0,.133,.200,.067,.286
,,,Knuckler,30,8,2,0,0,1,0,0,0,.125,.125,.000,.167
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=425426&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chien-Ming Wang,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,49,16,4,2,0,1,1,0,0,.125,.188,.063,.167
,,,Sinker,25,3,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Change,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,10,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,8,5,4,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Knuckler,1,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=629496&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chih-Wei Hu,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=425835&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chin-hui Tsao,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Sinker,1,1,0,0,0,0,1,0,0,1.000,2.000,1.000,1.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605135&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Bassitt,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,6,2,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502042&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Archer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,56,12,4,1,0,1,0,0,0,.083,.083,.000,.125
,,,Sinker,37,11,7,0,0,1,0,0,0,.091,.091,.000,.250
,,,Slider,7,2,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,9,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,6,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=408052&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Bootcheck,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571476&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Beck,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,6,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607471&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Bostick,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,88,21,4,2,0,3,3,1,1,.381,.762,.381,.438
,,,Sinker,18,5,3,2,0,2,0,0,0,.400,.400,.000,1.000
,,,Change,30,8,3,1,1,1,0,0,0,.125,.125,.000,.200
,,,Slider,34,7,1,0,0,2,0,0,1,.429,.857,.429,.400
,,,Curve,30,4,2,0,0,1,0,0,0,.250,.250,.000,.500
,,,Cutter,15,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=425626&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Capuano,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,301,58,27,3,0,2,1,0,0,.052,.069,.017,.097
,,,Sinker,179,43,9,1,0,3,2,0,0,.116,.163,.047,.147
,,,Change,31,7,4,0,0,2,0,0,0,.286,.286,.000,.667
,,,Slider,53,20,12,0,0,2,1,0,0,.150,.200,.050,.375
,,,Curve,60,25,19,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,28,8,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Split,8,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Screwball,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=408210&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chone Figgins,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,5286,1009,169,180,4,211,49,8,5,.271,.350,.079,.321
,,,Sinker,3085,647,72,107,2,174,22,10,4,.325,.408,.084,.361
,,,Change,1315,291,69,13,0,47,12,0,2,.210,.272,.062,.268
,,,Slider,983,232,83,12,1,33,9,1,1,.190,.250,.060,.291
,,,Curve,992,211,68,8,2,31,4,0,0,.166,.185,.019,.245
,,,Cutter,760,184,28,11,2,45,9,2,0,.304,.375,.071,.359
,,,Split,153,42,10,0,0,10,0,0,0,.238,.238,.000,.313
,,,Knuckler,69,18,1,3,0,4,1,0,0,.278,.333,.056,.294
,,,Screwball,4,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,3,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=499624&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Colabello,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1125,300,83,28,4,39,21,1,16,.257,.493,.237,.304
,,,Sinker,626,150,18,20,2,39,12,0,7,.387,.607,.220,.408
,,,Change,323,85,41,2,0,10,0,0,4,.165,.306,.141,.250
,,,Slider,515,109,47,4,0,16,2,0,4,.202,.330,.128,.310
,,,Curve,362,56,22,5,0,9,1,0,0,.179,.196,.018,.294
,,,Cutter,272,63,21,0,0,14,3,0,1,.286,.381,.095,.415
,,,Split,58,18,9,1,0,3,1,0,1,.278,.500,.222,.500
,,,Knuckler,30,6,1,1,0,4,0,0,0,.667,.667,.000,.800
,,,Screwball,1,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=474892&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Carter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,4360,843,339,152,10,75,45,1,68,.224,.522,.298,.278
,,,Sinker,2188,462,90,73,8,69,25,0,27,.262,.491,.229,.273
,,,Change,1130,233,98,31,3,19,7,0,15,.176,.399,.223,.217
,,,Slider,2314,499,255,35,0,51,16,3,21,.182,.353,.170,.314
,,,Curve,1052,235,98,11,3,23,5,1,15,.187,.409,.221,.238
,,,Cutter,812,169,57,18,2,29,8,0,9,.272,.479,.207,.359
,,,Split,186,41,22,4,0,4,3,0,0,.171,.244,.073,.368
,,,Knuckler,73,13,3,1,0,1,2,0,1,.308,.692,.385,.333
,,,Screwball,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slow Curve,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=606965&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Devenski,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3,1,1,0,0,0,0,0,0,.000,.000,.000,.000
,,,Sinker,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=458085&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Chris Coghlan,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,3980,816,177,135,5,128,51,9,25,.261,.438,.177,.306
,,,Sinker,2690,642,72,77,7,130,45,5,13,.301,.447,.146,.323
,,,Change,1281,300,44,17,1,52,10,4,6,.240,.360,.120,.264
