!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=592091&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Achter,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=595918&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,A.J. Cole,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Curve,862,186,45,5,1,32,12,1,3,.258,.382,.124,.326
,,,Cutter,738,182,36,12,2,40,10,4,3,.313,.462,.148,.378
,,,Split,119,39,12,3,0,5,3,0,1,.231,.385,.154,.308
,,,Knuckler,17,4,1,0,0,0,1,0,0,.250,.500,.250,.333
,,,Slow Curve,9,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=594760&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Blair,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,44,8,2,1,0,1,0,0,0,.125,.125,.000,.167
,,,Sinker,13,5,1,0,0,1,0,0,0,.200,.200,.000,.250
,,,Change,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,8,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,Curve,10,3,3,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,3,1,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=571437&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Altherr,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,1526,333,92,40,4,47,20,5,12,.252,.451,.198,.314
,,,Sinker,770,177,28,18,11,29,13,3,2,.266,.407,.141,.306
,,,Change,360,81,29,4,1,6,1,0,1,.099,.148,.049,.137
,,,Slider,801,184,88,20,4,18,8,1,11,.207,.440,.234,.318
,,,Curve,417,72,29,6,2,9,2,0,4,.208,.403,.194,.282
,,,Cutter,208,60,13,7,0,12,4,1,3,.333,.583,.250,.386
,,,Split,42,7,4,3,0,1,0,0,1,.286,.714,.429,.500
,,,Knuckler,21,4,2,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=502578&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Barrett,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=605156&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Brooks,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,Fourseam,7,2,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Slider,2,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,Cutter,1,0,0,0,0,0,0,0,0,.000,.000,.000,.000
,,,
!NEW_PLAYER!,http://www.brooksbaseball.net/h_tabs.php?player=607481&balls=-1&strikes=-1&b_hand=-1&time=month&minmax=ci&var=ra&s_type=2&gFilt=&startDate=&endDate=,Aaron Bummer,Pitch Type,Count,AB,K,BB,HBP,1B,2B,3B,HR,BAA,SLG,ISO,BABIP
,,,
